vertical,use_case_id,technology_id,awarded_observation_count,raw_value_p25,raw_value_median,raw_value_p75,assumption_template_status,review_status
Defense,asset-tracking,rfid-asset-tagging,2,2209867.5425,2473281.695,2736695.8475,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Automotive,asset-tracking,iot-platforms,1,530000.0,530000.0,530000.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Automotive,predictive-maintenance,machine-learning,1,24000000.0,24000000.0,24000000.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Defense,compliance-monitoring,iot-platforms,1,170000.0,170000.0,170000.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Healthcare,compliance-monitoring,cybersecurity-platform,1,3782597.78,3782597.78,3782597.78,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Healthcare,network-optimization,connectivity-5g,1,799038.0,799038.0,799038.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Lifesciences,anomaly-detection,cybersecurity-platform,1,100000.0,100000.0,100000.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Manufacturing,energy-optimization,iot-platforms,1,18205863.16,18205863.16,18205863.16,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Media & Entertainment,automated-inspection-defect-detection,digital-twin,1,600000.0,600000.0,600000.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Media & Entertainment,compliance-monitoring,cybersecurity-platform,1,1037000.0,1037000.0,1037000.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Media & Entertainment,environmental-emissions-monitoring,iot-platforms,1,600000.0,600000.0,600000.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Media & Entertainment,network-optimization,cloud-data-platform,1,400000.0,400000.0,400000.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Natural Resources,asset-tracking,rfid-asset-tagging,1,950000.0,950000.0,950000.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Natural Resources,predictive-maintenance,industrial-robotics,1,27292000.0,27292000.0,27292000.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Natural Resources,predictive-maintenance,iot-platforms,1,291120993.7,291120993.7,291120993.7,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Public/Gov sector,compliance-monitoring,cybersecurity-platform,1,351363.43,351363.43,351363.43,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Public/Gov sector,energy-optimization,iot-platforms,1,20725000.0,20725000.0,20725000.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Public/Gov sector,network-optimization,iot-platforms,1,437948955.52,437948955.52,437948955.52,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Retail,asset-tracking,iot-platforms,1,1135500.0,1135500.0,1135500.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Transportation & Construction,energy-optimization,iot-platforms,1,13000000.0,13000000.0,13000000.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
Wholesale,predictive-maintenance,iot-platforms,1,998931.0,998931.0,998931.0,insufficient_awarded_observations,required_currency_scope_and_duration_validation
