vertical,use_case_id,technology_id,awarded_observation_count,raw_value_p25,raw_value_median,raw_value_p75,assumption_template_status,greenfield_low_annual_value_eur,greenfield_central_annual_value_eur,greenfield_high_annual_value_eur,expansion_low_annual_value_eur,expansion_central_annual_value_eur,expansion_high_annual_value_eur,public_low_annual_value_eur,public_central_annual_value_eur,public_high_annual_value_eur,currency,basis,method,source_reference,review_status,reviewer_notes
Aerospace,anomaly-detection,cybersecurity-platform,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,anomaly-detection,machine-learning,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,asset-tracking,autonomous-vehicles-drones,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,asset-tracking,blockchain-distributed-ledger,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,asset-tracking,computer-vision,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,asset-tracking,industrial-robotics,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,asset-tracking,iot-platforms,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,automated-inspection-defect-detection,computer-vision,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,automated-inspection-defect-detection,industrial-robotics,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,automated-inspection-defect-detection,iot-platforms,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,compliance-monitoring,connectivity-5g,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,diagnostic-support,computer-vision,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,environmental-emissions-monitoring,cloud-data-platform,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,environmental-emissions-monitoring,computer-vision,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,environmental-emissions-monitoring,digital-twin,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,environmental-emissions-monitoring,iot-platforms,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,environmental-emissions-monitoring,machine-learning,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,network-optimization,connectivity-5g,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,network-optimization,iot-platforms,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,precision-agriculture,computer-vision,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,precision-agriculture,iot-platforms,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,predictive-maintenance,autonomous-vehicles-drones,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,predictive-maintenance,digital-twin,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
Aerospace,predictive-maintenance,edge-computing,0,,,,no_awarded_comparable_evidence,,,,,,,,,,,No taxonomy-linked awarded comparable evidence; an external public comparable or approved business assumption is required,Validate greenfield and expansion annual EUR values for SBS verticals; for Public/Gov validate one annual value per observed procurement-active buyer. Report P25 / median / P75 for the applicable segment only,analysis2/reference/market_sizing/comparable_contract_observations.csv,required,
