source,source_url,source_layer,source_category,source_quality_default,primary_value,domains,collection_method,verification_status,priority,notes
EUR-Lex,https://eur-lex.europa.eu,primary_policy,regulator,5,"EU laws, delegated acts, and official journal notices","all","manual search or selected RSS feeds",candidate,P0,"Primary source for binding EU requirements."
European Commission,https://commission.europa.eu,primary_policy,regulator,5,"EU policy, programmes, consultations, and procurement context","all","website and newsletters",candidate,P0,"Use official pages rather than secondary reporting for policy claims."
ENISA,https://www.enisa.europa.eu,primary_policy,eu_agency,5,"European cybersecurity threat, resilience, and certification context","cybersecurity; trusted cloud; AI security","website publications and alerts",candidate,P0,"High-value source for NIS2 and critical-sector cyber evidence."
ANSSI,https://cyber.gouv.fr,primary_policy,national_regulator,5,"French sovereign-cloud and public-sector security requirements","trusted cloud; sovereign cloud; cybersecurity","website publications and alerts",candidate,P0,"High relevance to Orange Business's French market."
ETSI,https://www.etsi.org,primary_technical,standards_body,5,"European telecom, edge, NFV, network automation, and private-5G standards","private wireless; edge; network automation","publication portal and working-group updates",candidate,P0,"Use for terminology, architecture, and standards maturity."
3GPP,https://www.3gpp.org,primary_technical,standards_body,5,"Mobile-network standards and release roadmaps","private wireless; 5G-Advanced; network slicing","website releases and technical specifications",candidate,P0,"Use to distinguish standardized capability from vendor claims."
NIST,https://www.nist.gov,primary_technical,government,5,"Security, Zero Trust, AI risk, cloud, and private-5G implementation guidance","cybersecurity; trusted cloud; AI; private wireless","publication feeds and website",candidate,P0,"Technical guidance, not a direct European regulatory source."
CISA,https://www.cisa.gov,primary_policy,government,5,"Cybersecurity advisories, operational risks, and critical-infrastructure threats","cybersecurity; security analytics","alerts and advisories",candidate,P0,"Use for threat and vulnerability signals."
EU AI Office,https://digital-strategy.ec.europa.eu,enforcement_and_policy,regulator,5,"EU AI Act implementation and governance","AI; agentic AI; trusted AI","website and policy updates",candidate,P0,"Confirm exact publication URLs before automated collection."
European Data Protection Board,https://www.edpb.europa.eu,primary_policy,regulator,5,"Data-protection guidance and enforcement context","trusted cloud; AI; data governance","website and guidelines",candidate,P1,"Useful for privacy-sensitive opportunities."
GSMA,https://www.gsma.com,industry_adoption,industry_body,4,"Mobile ecosystem adoption and operator deployment models","private wireless; edge; 5G","reports and newsletters",candidate,P1,"Industry body; distinguish forecasts from verified deployments."
