opportunity_id,vertical,use_case_id,technology_id,priority_score,evidence_count,nace_code,technology_proxy,vertical_mapping_status,technology_mapping_status,demand_scenario,assumption_status,currency,annual_value_method,geography_level,geography_id,geography_label,expected_country_count,selected_market_enterprise_base,addressable_enterprise_base,country_size_cells,countries_with_source_data,invalid_enterprise_input_cells,invalid_adoption_input_cells,adoption_basis,adoption_proxy_reason,low_annual_value_eur,central_annual_value_eur,high_annual_value_eur,country_coverage_ratio,country_coverage_status,low_annual_potential_eur,central_annual_potential_eur,high_annual_potential_eur,market_potential_status,validation_status,market_scope,interpretation_note
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,AT,AT,1,56.0,37.9552,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,BE,BE,1,41.0,17.7175,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,BG,BG,1,37.0,8.6391,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,CZ,CZ,1,299.0,141.90949999999998,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,DE,DE,1,538.0,241.8989,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,DK,DK,1,13.0,4.0248,1,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,EE,EE,1,14.0,3.2531999999999988,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,ES,ES,1,249.0,96.3526,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,FI,FI,1,30.0,14.1529,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,FR,FR,1,209.0,74.42129999999999,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,HR,HR,1,10.0,3.6538,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,HU,HU,1,144.0,52.7007,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,IT,IT,1,342.0,160.9676,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,LT,LT,1,16.0,7.964600000000001,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,LU,LU,1,4.0,1.182,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
Automotive | asset-tracking | iot-platforms,Automotive,asset-tracking,iot-platforms,66.3,8,C29,iot,mapped,mapped_proxy,expansion_or_managed_service,missing_assumption,,,country,LV,LV,1,8.0,4.0866,2,1,0,0,proxy,All-business non-financial ICT rate used as a Manufacturing proxy; older 2021 vintage.,,,,1.0,complete,,,,not_estimable_missing_validated_annual_value,blocked_missing_validated_annual_value,Orange Business Europe market-sizing scope,Country-level source data is aggregated to the configured Orange Business region or Europe total. ICT adoption is an all-business proxy; see adoption_proxy_reason and country_coverage_status.
